iter	Passed	Remaining
0	3	313
1	5	279
2	8	269
3	10	262
4	13	255
5	16	250
6	18	246
7	21	242
8	23	239
9	26	236
10	28	233
11	31	230
12	33	226
13	36	223
14	39	221
15	41	218
16	44	215
17	46	212
18	49	209
19	51	207
20	54	204
21	56	201
22	59	199
23	61	196
24	64	193
25	66	190
26	69	187
27	72	185
28	74	182
29	77	179
30	79	177
31	82	175
32	84	172
33	87	169
34	89	167
35	92	164
36	95	161
37	97	159
38	100	156
39	102	154
40	105	151
41	107	148
42	110	146
43	112	143
44	115	141
45	118	138
46	120	135
47	123	133
48	125	130
49	128	128
50	130	125
51	133	122
52	135	120
53	138	117
54	141	115
55	144	113
56	146	110
57	149	108
58	151	105
59	154	102
60	156	100
61	159	97
62	161	95
63	164	92
64	166	89
65	169	87
66	172	84
67	174	82
68	177	79
69	179	76
70	182	74
71	184	71
72	187	69
73	189	66
74	192	64
75	195	61
76	197	59
77	200	56
78	202	53
79	205	51
80	207	48
81	210	46
82	212	43
83	215	41
84	218	38
85	220	35
86	223	33
87	225	30
88	228	28
89	230	25
90	233	23
91	235	20
92	238	17
93	240	15
94	243	12
95	246	10
96	248	7
97	251	5
98	253	2
99	256	0
