iter	RMSE
0	0.8368330176
1	0.8361334299
2	0.828901663
3	0.8286744602
4	0.8250954253
5	0.8207116049
6	0.8152290792
7	0.8120817288
8	0.802771497
9	0.7946481585
10	0.7899032327
11	0.7850653013
12	0.7835908922
13	0.7835035028
14	0.7777005902
15	0.7748417435
16	0.7650822275
17	0.7603754886
18	0.7574936818
19	0.7503093893
20	0.7447927705
21	0.744679391
22	0.7358021688
23	0.7357977376
24	0.7354972245
25	0.7312902026
26	0.7253502102
27	0.7213753155
28	0.7162863553
29	0.7116114554
30	0.7114950589
31	0.7062069521
32	0.6981818408
33	0.6981732943
34	0.6958539821
35	0.6951248152
36	0.6902561248
37	0.6855444781
38	0.6848111027
39	0.6797480875
40	0.672021108
41	0.6675824027
42	0.6640790397
43	0.658982559
44	0.6587250917
45	0.6542535336
46	0.6527799587
47	0.6473864592
48	0.6473802451
49	0.6399927043
50	0.635367222
51	0.6306863533
52	0.6303906153
53	0.626600525
54	0.6222385324
55	0.6217246017
56	0.6169749567
57	0.6123944501
58	0.612386688
59	0.6092028119
60	0.6069734124
61	0.6043072758
62	0.5994928183
63	0.5955302171
64	0.5915010358
65	0.5880904816
66	0.5870663456
67	0.5812155459
68	0.5746385828
69	0.5709169182
70	0.5653319345
71	0.5594535423
72	0.5562047322
73	0.5561379955
74	0.5534020587
75	0.5528025763
76	0.5520871062
77	0.5514136028
78	0.5467579521
79	0.5424781252
80	0.5424690949
81	0.5423179574
82	0.5389251113
83	0.536935587
84	0.533457899
85	0.5304744719
86	0.5257602852
87	0.5240864286
88	0.5207143667
89	0.5201021774
90	0.5168855518
91	0.5103512376
92	0.5056344485
93	0.5027788589
94	0.5026168995
95	0.4996304991
96	0.4996156211
97	0.4972719074
98	0.4971819721
99	0.4945620484
100	0.4915030744
101	0.4887061073
102	0.486248267
103	0.4862305129
104	0.4832089963
105	0.4831923754
106	0.4804066118
107	0.4759128587
108	0.4719813908
109	0.4691100145
110	0.4656140864
111	0.4624852315
112	0.458347341
113	0.4569888722
114	0.454647968
115	0.4538959178
116	0.4488721122
117	0.4463929127
118	0.4447249233
119	0.4437521311
120	0.4403907654
121	0.4354215886
122	0.4327514267
123	0.4299282028
124	0.4276671826
125	0.4270236378
126	0.4235309831
127	0.4210392204
128	0.4180113783
129	0.4158360663
130	0.4109391651
131	0.4094521347
132	0.4052952744
133	0.4047816769
134	0.4030737591
135	0.3993778706
136	0.3972996763
137	0.3951473636
138	0.3935512888
139	0.3920490946
140	0.3901464729
141	0.3887236443
142	0.3865448567
143	0.3837409137
144	0.3806943071
145	0.3800868033
146	0.3791574379
147	0.3772772267
148	0.3749807666
149	0.3736527333
150	0.371645135
151	0.3666305441
152	0.3646126714
153	0.3626264419
154	0.3607185335
155	0.3592449001
156	0.3573531393
157	0.3565550842
158	0.3543318856
159	0.352909307
160	0.3516182257
161	0.3508749128
162	0.3489717031
163	0.3471320527
164	0.3450614768
165	0.3426726867
166	0.341545845
167	0.3408816824
168	0.3402478803
169	0.3363586306
170	0.3334420425
171	0.3330276593
172	0.3319679646
173	0.3290896332
174	0.3285162491
175	0.326945783
176	0.325283164
177	0.3249679354
178	0.3244316256
179	0.3216289599
180	0.3206500844
181	0.3203589246
182	0.3161869215
183	0.315246794
184	0.3143315073
185	0.3116641636
186	0.3089991161
187	0.3066853379
188	0.3058297378
189	0.3041664647
190	0.3033366299
191	0.3017148511
192	0.3014641276
193	0.3006602548
194	0.2990781284
195	0.2988306528
196	0.2985999186
197	0.2970533171
198	0.2951317387
199	0.2936394582
200	0.2912673846
201	0.2889613431
202	0.287553236
203	0.2873056617
204	0.2871147902
205	0.2868796446
206	0.2854550754
207	0.2852504976
208	0.2850239262
