iter	Passed	Remaining
0	4	434
1	8	411
2	12	393
3	16	385
4	19	375
5	23	367
6	27	361
7	30	354
8	34	349
9	38	346
10	42	347
11	46	342
12	50	337
13	54	332
14	57	328
15	61	325
16	65	320
17	69	317
18	73	312
19	81	324
20	85	320
21	89	316
22	93	312
23	97	308
24	101	304
25	105	299
26	109	294
27	112	290
28	116	286
29	120	281
30	124	277
31	128	272
32	132	269
33	136	265
34	140	261
35	144	257
36	148	253
37	152	249
38	156	244
39	160	240
40	164	236
41	167	231
42	171	227
43	175	223
44	179	219
45	182	214
46	186	210
47	190	206
48	194	202
49	197	197
50	201	193
51	205	189
52	209	185
53	213	182
54	217	178
55	221	173
56	225	169
57	228	165
58	232	161
59	237	158
60	241	154
61	245	150
62	249	146
63	252	142
64	256	138
65	260	134
66	263	130
67	267	126
68	271	122
69	275	118
70	279	114
71	283	110
72	287	106
73	291	102
74	294	98
75	298	94
76	303	90
77	306	86
78	310	82
79	314	78
80	318	74
81	321	70
82	325	66
83	330	62
84	334	58
85	337	54
86	341	51
87	345	47
88	349	43
89	353	39
90	357	35
91	360	31
92	364	27
93	368	23
94	372	19
95	375	15
96	379	11
97	383	7
98	387	3
99	391	0
