id,symbol,name,narrative,price,volume,market_cap
onchain-coin,onchain,Onchain Coin,ai,0.00834798,65.06,0.0
ripple,xrp,XRP,ai,2.28,4635787923.0,134519584088.0
uniswap,uni,Uniswap,ai,7.46,277017494.0,4477421681.0
aave,aave,Aave,ai,283.13,421109028.0,4298233466.0
internet-computer,icp,Internet Computer,ai,4.76,36651178.0,2545922790.0
filecoin,fil,Filecoin,ai,2.26,122805771.0,1535811784.0
worldcoin-wld,wld,Worldcoin,ai,0.861209,97537496.0,1471941575.0
celestia,tia,Celestia,ai,1.56,150979204.0,1093455828.0
blockstack,stx,Stacks,ai,0.646275,22738801.0,991209293.0
theta-token,theta,Theta Network,ai,0.681983,15086312.0,681924038.0
arweave,ar,Arweave,ai,5.01,19776075.0,328151878.0
zksync,zk,ZKsync,ai,0.04522319,17320634.0,323450701.0
1inch,1inch,1inch,ai,0.189582,21368462.0,264258354.0
decred,dcr,Decred,ai,15.63,2870398.0,264122253.0
0x,zrx,0x Protocol,ai,0.216469,14827441.0,183504245.0
oasis-network,rose,Oasis,ai,0.02354354,6393954.0,173998143.0
yearn-finance,yfi,yearn.finance,ai,5105.0,11817757.0,172590099.0
nervos-network,ckb,Nervos Network,ai,0.00345221,7638975.0,161495739.0
cow-protocol,cow,CoW Protocol,ai,0.306461,17757653.0,149311043.0
sushi,sushi,Sushi,ai,0.593659,20189166.0,114452231.0
uma,uma,UMA,ai,1.062,5099287.0,93617256.0
power-ledger,powr,Powerledger,ai,0.154197,4191166.0,81670686.0
civic,cvc,Civic,ai,0.093,23038953.0,74602924.0
across-protocol,acx,Across Protocol,ai,0.135149,15866177.0,66672465.0
balancer,bal,Balancer,ai,0.951109,4148974.0,61057189.0
energy-web-token,ewt,Energy Web,ai,0.983289,459625.0,59542994.0
auction,auction,Bounce,ai,8.79,8579946.0,57923473.0
forta,fort,Forta,ai,0.068,2370857.0,40853830.0
wrapped-nxm,wnxm,Wrapped NXM,ai,58.58,218587.0,37634587.0
orchid-protocol,oxt,Orchid Protocol,ai,0.053003,2436085.0,31334290.0
bouncebit,bb,BounceBit,ai,0.075836,6338181.0,31054199.0
paraswap,psp,ParaSwap,ai,0.01943979,315511.0,30171141.0
badger-dao,badger,Badger,ai,1.039,5408602.0,20695059.0
chainflip,flip,Chainflip,ai,0.31391,1221052.0,20055908.0
shapeshift-fox-token,fox,ShapeShift FOX,ai,0.02328223,291729.0,14482526.0
index-cooperative,index,Index Cooperative,ai,1.059,58385.0,7730630.0
archway,arch,Archway,ai,0.00491543,134109.0,3113835.0
hxro,hxro,HXRO,ai,0.00296481,4826.95,1839326.0
witnet,wit,Witnet,ai,0.00112996,102745.0,1506159.0
kine-protocol,kine,Kine Protocol,ai,0.00116302,14.99,23507.0
pixel-3,pxl,Pixel,ai,0.00014002,208.97,90208.0
repo-analyzer-ai,repoalyze,REPO ANALYZER AI,ai,8.631e-05,2017.11,85453.0
module,module,Module,ai,8.47,62.4,84657.0
holozone,holo,Holozone,ai,9.339e-05,678.12,84479.0
flow-agent,flow,Flow Agent,ai,8.66e-05,821.89,82200.0
silentis,silentis,Silentis,ai,8.12e-05,51095.0,81547.0
alphaarc,alpha,AlphaArc,ai,8.128e-05,41.41,81260.0
auditai,audai,AuditAI,ai,0.00179342,78.82,80704.0
magnus-opus-by-virtuals,magnus,Magnus Opus by Virtuals,ai,0.00014641,279.6,80324.0
notmeme-agent,notmeme,NOTMEME Agent,ai,2.26e-06,26116.0,79186.0
filter-ai-2,filter,Filter AI,ai,0.00101431,23686.0,77981.0
gemdetector-ai,gemai,GemDetector.ai,ai,9.682e-05,106.72,77451.0
bark-ruffalo-by-virtuals,pawsy,Bark Ruffalo by Virtuals,ai,7.748e-05,205.78,77311.0
bloomsperg-terminal,sperg,Bloomsperg Terminal,ai,7.684e-05,108.17,76836.0
honeyfun-ai,aibera,HoneyFun AI,ai,0.0021809,2250.13,75993.0
faceless,faceless,FACELESS,ai,8.071e-05,3764.08,75486.0
alpha-radar-bot,arbot,Alpha Radar AI,ai,0.00104646,30.53,74468.0
agentik-dex,agentik,Agentik DEX,ai,0.00014884,313.26,74420.0
trebly,treb,Trebly,ai,7.259e-05,2839.25,72547.0
trackius-ai,tkus,Trackius.ai,ai,7.647e-05,10545.8,72500.0
hunter-by-virtuals,drpxbt,Hunter by Virtuals,ai,7.216e-05,86.22,72095.0
sentiient,sent,Sentiient,ai,5.999e-05,622.35,71993.0
kogin-by-virtuals,kogin,Kogin by Virtuals,ai,7.938e-05,1236.75,71562.0
build-3,build,BUILD,ai,7.099e-05,159757.0,70979.0
agenthub,$dira,AgentHub,ai,7.101e-05,4885.1,70943.0
bird-money,bird,Bird.Money,ai,0.612634,2114.14,70781.0
agent-zeek-by-virtuals,zeek,Agent Zeek by Virtuals,ai,7.066e-05,11.82,70535.0
pilso-os,pilso,PILSO OS,ai,0.00083967,25387.0,69063.0
brot,brot,BROT,ai,6.899e-05,100.49,68985.0
o-megax,o-megax,O-megax,ai,9.196e-05,790.23,68977.0
rick-the-npc,rick,Rick the NPC,ai,6.705e-05,199.34,67045.0
caire,caire,CAIRE,ai,0.00318919,1661.89,66973.0
aimbot,aimbot,Aimbot AI,ai,0.062029,9.82,62029.0
nodelyai,$node,NodelyAI,ai,7.771e-05,7.76,61706.0
qlix,qlix,QLix,ai,0.061484,123.58,61353.0
doglibre,dogl,DogLibre,ai,6.459e-09,943.51,60551.0
sylvi-agent,sylviai,SYLVI AGENT,ai,6.048e-05,131.47,60481.0
dream-3,dream,DREAM by Virtuals,ai,6.025e-05,143.55,60157.0
paint,paint,MurAll,ai,5.04e-06,99.38,58389.0
lola-3,lola,Lola,ai,5.627e-05,1281.21,56247.0
