id,narrative,price,volume,symbol,name,market_cap
pepecat-2,meme,,,pepecat,PEPECAT,6601353
meme-ssi,meme,,,meme.ssi,MEME.ssi,1196195
games-for-a-living,gaming,,,gfal,Games for a Living,24525096
vcgamers,gaming,,,vcg,VCGamers,751190
safemoon-inu,meme,,,smi,SafeMoon Inu,489173
skull-of-pepe-token,meme,,,skop,Skull of Pepe Token,6420367
just-memecoin,meme,,,memecoin,just memecoin,745801
hokkaidu-inu,meme,,,hokk,HOKK Finance,487056
dogechain,meme,,,dc,Dogechain,1944306
minutes-network-token,meme,,,mntx,Minutes Network Token,23841040
shiba-predator,meme,,,qom,Shiba Predator,1935131
gamee,gaming,,,gmee,GAMEE,1934999
vita-inu,meme,,,vinu,Vita Inu,14554968
tao-inu,meme,,,taonu,TAO INU,1162594
the-rug-game,gaming,,,trg,The Rug Game,479440
crown-by-third-time-games,gaming,,,crown,Crown by Third Time Games,23192110
wall-street-pepe,meme,,,wepe,Wall Street Pepe,14013665
bazed-games,gaming,,,bazed,Bazed Games,6186137
pepper-meme,meme,,,pepper,Pepper Meme,6178387
gameflip,gaming,,,flp,Gameflip,475546
jooce-memecoin-index,meme,,,jmx,JOOCE Memecoin Index,731356
kiba-inu,meme,,,kiba,Kiba Inu,474833
taocat-by-virtuals,meme,,,taocat,TAOCat by Virtuals,727260
arbdoge-ai,meme,,,aidoge,ArbDoge AI,22125336
the-innovation-game,gaming,,,tig,The Innovation Game,13735006
gameswap-org,gaming,,,gswap,Gameswap,471977
yield-guild-games,gaming,,,ygg,Yield Guild Games,77023827
elonxcat,meme,,,exc,ElonXCat,22016018
memecoin-2,meme,,,meme,Memecoin,76252706
vinuchain,meme,,,vc,VinuChain,1134122
catboy-3,meme,,,catboy,Catboy,1129922
nakamoto-games,gaming,,,naka,Nakamoto Games,21461032
public-meme-token,meme,,,pmt,Public Masterpiece Token,5864581
ethereum-push-notification-service,meme,,,push,Push Protocol,3079099
purple-pepe,meme,,,purpe,PURPLE PEPE,21327024
ufo-gaming,gaming,,,ufo,UFO Gaming,5762750
the-first-meme,meme,,,first,The First Meme,463391
doge-eat-doge,meme,,,omnom,Doge Eat Doge,3033241
bongo-cat,meme,,,bongo,BONGO CAT,13128336
fatcat-2,meme,,,$fatcat,FATCAT,1796966
grumpy-cat-coin,meme,,,grumpy,Grumpy Cat Coin,3030073
city-tycoon-games,gaming,,,ctg,City Tycoon Games,460136
nutcoin-meme,meme,,,nut,NutCoin,701471
wall-street-memes,meme,,,wsm,Wall Street Memes,1089448
frog-games,gaming,,,fg,Frog Games,2998428
good-game-us-dollar,gaming,,,ggusd,Good Game US Dollar,2991326
gamezone,gaming,,,gzone,GameZone,1086335
spacecatch,meme,,,catch,SpaceCatch,2987048
what-do-you-meme,meme,,,w3w,Web3 Whales,1084885
piccolo-inu,meme,,,pinu,Piccolo Inu,454236
lc-shib,meme,,,lc,LC SHIB,2978228
billion-dollar-cat-runes,meme,,,bdc,Billy (Bitcoin),12687686
the-doge-nft,meme,,,dog,Own The Doge,19956446
memegames-ai,gaming,,,mgames,MemeGames AI,2955835
conan-meme,meme,,,conan,Conan Meme,1739704
kira-the-injective-cat,meme,,,kira,Kira the Injective Cat,449880
forward,rwa,,,forward,Forward,2941444
catbal,meme,,,catbal,Catbal,5552113
octo-gaming,gaming,,,otk,Octokn,2941010
memento-mori,meme,,,mori,MEMENTO•MORI (Runes),1070118
opcat-2,meme,,,opcat,OPCAT,1735351
dacat,meme,,,dacat,daCat,1068987
pepeontron,meme,,,pepeontron,PePeonTron,64105246
