id,symbol,name,narrative,price,volume,market_cap
huobi-token,ht,Huobi,ai,0.254416,91101.0,40555412.0
husd,husd,HUSD,ai,0.03001868,1.48,5638018.0
elk-finance,elk,Elk Finance,ai,0.02911734,4075.14,469860.0
shadowtokens-bridged-usdc-elastos,ethusdc,ShadowTokens Bridged USDC (Elastos),ai,0.973962,128.5,272297.0
shadowtokens-bridged-wbnb-elastos-smart-chain,wbnb,ShadowTokens Bridged WBNB (Elastos Smart Chain),ai,653.07,6.53,0.0
bridged-busd,busd,Bridged BUSD,ai,0.980301,197.1,0.0
wrapped-elastos,wela,Wrapped Elastos,ai,1.29,128.5,0.0
shadowtokens-bridged-weth-elastos-smart-chain,weth,ShadowTokens Bridged WETH (Elastos Smart Chain),ai,2499.98,129.98,0.0
glide-finance,glide,Glide Finance,ai,0.00796419,22.64,0.0
time,time,TIME,meme,3.56188e-07,956.97,165868.0
ledog-dog,dog,LEDOG (DOG),meme,7.883e-09,1307.96,165543.0
jarvis-3,jarvis,Jarvis,meme,0.00016814,1741.14,165209.0
morning-routine,routine,Morning Routine,meme,0.00016513,57879.0,165110.0
ustream-coin,ustream,Ustream Coin,meme,0.00016519,2815.77,165095.0
international-klein-blue,ikb,International Klein Blue,meme,0.00019998,1.87,164915.0
best-memecoin-ever,cult,Best Memecoin Ever,meme,0.00016509,9434.04,164909.0
vikita,vikita,VIKITA,meme,0.00016474,15.33,164859.0
based-fwog,fwog,Based Fwog,meme,1.64e-06,58.31,164552.0
cash-2,cash,CASH,meme,0.00020676,1690.66,164364.0
one-unchill-gal,gal,one unchill gal,meme,0.00016532,83.86,163670.0
izzy,izzy,Izzy,meme,3.86784e-07,49067.0,162716.0
sol-drip,drip,SOL DRIP,meme,0.00015923,1977.65,162168.0
fortune-favours-the-brave,fftb,FORTUNE FAVOURS THE BRAVE,meme,1.63e-06,158.93,162159.0
socomfy,comfy,SOCOMFY,meme,1.62e-05,134.73,162031.0
andy70b,andy70b,ANDY70B,meme,0.00016768,1915.38,161959.0
baby-bitcoin-2,babybtc,Baby BitCoin,meme,0.00016137,584.77,161411.0
cheems-cto,cheems,Cheems CTO,meme,3.82725e-10,700.1,161119.0
dancing-triangle-2,triangle,dancing triangle,meme,0.00016998,2090.85,160200.0
starecat,helia,StareCat,meme,0.0001601,2008.18,159985.0
pugg,pugg,Pugg,meme,0.00015972,56986.0,159721.0
corgicoin,corgi,CorgiCoin,meme,1.594e-05,20.89,159426.0
shitcoin-3,shitcoin,SHITCOIN,meme,0.00015914,13762.07,159177.0
fluffington,fluffi,Fluffington,meme,0.00015917,936.59,159173.0
omega-3,omega,OMEGA,meme,0.00015914,6.22,159139.0
gorth,gorth,Gorth,meme,3.78025e-10,31070.0,159080.0
this-is-my-iguana,timi,This Is My Iguana,meme,0.00016821,2075.66,158503.0
helal-para-coin,hpc,Helal Para Coin,meme,0.00015812,52800.0,158103.0
infinite-backrooms,ib,infinite backrooms,meme,0.00015719,28508.0,157018.0
dawae-2,dawae,Dawae,meme,0.00015758,1229.37,156309.0
ghibli-mubarak,gmubarak,Ghibli Mubarak,meme,3.71979e-10,27631.0,156234.0
the-wally-group,twg,The Wally Group,meme,1.557e-05,2559.0,155667.0
just-a-black-rock-on-base,rock,Just a Black Rock on Base,meme,1.548e-05,79557.0,154956.0
balto,balto,BALTO,meme,4.29889e-07,174.52,154337.0
choctopus,choctopus,Choctopus,meme,0.0002182,27541.0,154191.0
hana,hana,Hana,meme,1.723e-05,211339.0,153610.0
koku-the-shikoku,$koku,Koku The Shikoku,meme,0.00015268,3.82,152680.0
ducky,ducky,Ducky,meme,3.62813e-07,48881.0,152632.0
keyboard-cat,keycat,Keyboard Cat,meme,0.00015242,301.7,152135.0
mustaaaaaard,mustard,MUSTAAAAAARD,meme,0.00015206,166174.0,151937.0
bossie,bossie,Bossie,meme,2.51e-06,8.47,151806.0
rod-ai,rodai,ROD.AI,meme,2.769e-09,2522.69,151793.0
store-of-value,val,Store of Value,meme,0.00015,51838.0,150869.0
coat-dog,coat,COAT DOG,meme,1.53e-06,3867.01,150358.0
kuma-world,kuma,Kuma World,meme,2.18181e-07,234.77,150174.0
pizabrc,piza,PIZA (Ordinals),meme,0.00717972,53424.0,149515.0
gua,gua,GUA,meme,2.391e-05,747.97,149352.0
pepe-on-doge,podge,Pepe on Doge,meme,0.00014888,94.3,148924.0
elons-pet-snail,gary,Elons Pet Snail,meme,0.00337649,137.58,148566.0
puge,puge,Puge,meme,1.48552e-07,19328.65,148552.0
kangal,kangal,Kangal,meme,1.48e-06,1.94,148281.0
podflow-ai-by-virtuals,pod,Podflow AI by Virtuals,meme,0.00014944,105.71,148162.0
queen-kitty,qkitty,Queen Kitty,meme,0.00014878,35277.0,148158.0
og-meme,ogme,OG.meme,meme,0.0001482,10.06,148151.0
doge,@doge,@DOGE,meme,0.00014798,3531.02,147903.0
toki-2,toki,Toki,meme,3.51377e-10,9468.83,147870.0
cramer-coin,$cramer,Cramer Coin,meme,0.00017434,32.2,147595.0
byte-2,$byte,BYTE,meme,0.00020849,73.4,147259.0
duckereum,ducker,Duckereum,meme,0.00147189,58.88,147189.0
bitcoin-wizards,wzrd,Bitcoin Wizards,meme,0.00700063,2.16,147013.0
ripple-with-rizz,rizzle,RIPPLE WITH RIZZ,meme,0.00014848,100884.0,146962.0
starknet-brother,brother,STARKNET BROTHER,meme,1.46814e-10,30.63,146814.0
go-fu-k-yourself,gfy,go fu*k yourself.,meme,2.15142e-07,46755.0,146727.0
pepemon-pepeballs,ppblz,Pepemon Pepeballs,meme,10.42,234.55,145945.0
pepe-clanker,pepec,Pepe Clanker,meme,0.145318,1121.77,145541.0
csi888,csi,CSI888,meme,0.00016381,44781.0,145460.0
minidoge-4,minidoge,MiniDoge,meme,0.00014539,2.18,145363.0
beta,beta,BETA,meme,0.000145,1956.53,145313.0
upsidedowncat-2,usdcat,upsidedowncat,meme,1.701e-05,19301.07,145158.0
department-of-government-efficiency-4,doge,Department Of Government Efficiency,meme,0.00028822,114.15,144108.0
