id,narrative,price,volume,market_cap
lush-ai,ai,0.00065216,602.18,3939261
gugo,meme,0.00396059,135942.0,3951409
energi,rwa,0.04010842,175717.0,3972680
only1,ai,0.01001446,619981.0,3956212
gob-is-gob-is-gob,gaming,0.00246843,224.52,3839777
agenda-47,ai,0.02409969,6753465.0,24095945
scout-protocol-token,gaming,0.02735173,3872.53,24465898
qkacoin,meme,0.759186,79781.0,24041989
dar-open-network,ai,0.03330295,15005282.0,21418312
wanchain,meme,0.108094,4002010.0,21461479
nakamoto-games,gaming,0.330281,7889634.0,21459070
agentcoin-tv,ai,0.085944,254.94,21486078
cortex-2,ai,0.01770431,11.51,21416584
ninja-squad,meme,2.44,106976.0,20532998
nest-elixir-vault-lp,rwa,1.0,0.0,20000005
matchain,ai,0.333193,2676275.0,19993677
imagen-ai,ai,0.0145575,40422.0,72787298
realio-network,rwa,0.269204,1398338.0,19959895
bancor,meme,0.598365,3972877.0,68373467
myro,meme,0.01782615,4133701.0,17878969
metamars-2,gaming,0.331958,1445890.0,5078962
solforge-fusion,gaming,0.56318,4232.3,3802305
liquidated,meme,0.00014598,100.43,105063
waveform,ai,0.00359757,27107.0,3576270
jesus-coin,meme,3.0078e-08,32103.0,4710540
pundu,meme,0.00337709,1362525.0,3364616
renta-network,ai,0.010133,53276.0,3346134
ethos,gaming,0.00469391,887215.0,4297696
rizo,meme,2.33459e-07,98.78,98214
saveplanetearth,meme,0.0056006,13063.48,3301596
justice-for-zachxbt,meme,9.684e-05,29.29,96233
bamboo-on-base,meme,0.00418851,10759.3,4188513
doom-2,meme,9.606e-05,92251.0,96505
panther,meme,0.0094976,456000.0,3189030
rose-2,meme,0.00010177,56876.0,102217
gatsby,ai,0.069505,6864.05,4003467
haroldonsol,meme,0.00315257,7498.78,3168330
