narrative,market_cap,volume,ret_7d,ret_30d,sma_7,sma_30,bb_width,vol_30d,cluster_id,future_ret_30d
ai,6390.7,1.14,0.14316410537224566,0.318811477901523,6.987810114618828e-06,6.413599875909227e-06,0.05251698054321392,0.06494993006009153,0,0.2201983770268885
ai,12580.77,4.97,-0.17997755061554566,0.1542808618614282,3.1261487401578595e-05,2.863185695096942e-05,0.09588125448794664,0.06318494827925433,0,0.6098971933645945
ai,23651.0,6.53,-0.060414582439416886,0.24771560922685865,2.6137728144202594e-05,2.0618713687183006e-05,0.18291100668758034,0.08626830541636579,0,0.05153970516660755
ai,1443249.0,6.16,0.4174249565921484,0.7011555206673772,0.043001853052758346,0.03526974115447124,0.10907438026008837,0.0793287892773208,0,-0.44522940778406694
meme,107137.0,107.15,-0.15405549812916097,-0.38897069072688617,2.1004067033558352e-05,2.7684294601327557e-05,0.2671495404059933,0.09936888711770786,3,0.7118664200130178
ai,14595.16,6.13,-0.13683811080685904,0.05747233889037218,1.8124004573343028e-05,1.7759504007214443e-05,0.05919488026668624,0.04387766693050484,0,0.15327081093433503
ai,7164.59,2.27,-0.13712711371994102,-0.23996620261153856,6.407616186307772e-06,7.442913983289678e-06,0.10330411520067227,0.03812277258662018,3,-0.1638013227737133
ai,16082.75,3.93,-0.0565151747111422,-0.1303205538961809,1.603375530012026e-05,1.8481025788440917e-05,0.1033629882283381,0.03366105327596867,0,-0.038842556956417584
gaming,99381.85247872474,0.0,-0.15865384615384626,-0.23935851318944845,0.0053791428571428575,0.006245100000000001,0.1379567585923777,0.053295748878292484,3,0.035502958579881616
ai,19627.94,6.91,-0.13384469772071783,-0.7706059222535824,3.156216771618326e-05,4.94864731016066e-05,0.13427341271415164,0.14204847511027055,3,0.37154835397756614
gaming,0.0,79124.40460243,-0.01183063511830651,0.07085020242914974,0.01602,0.016161000000000002,0.026359224428845144,0.034161079978410655,0,-0.1598729486500795
rwa,722627.6027152722,26695940.04121685,-0.011417322834645693,0.07078891257995745,0.002534714285714286,0.002557066666666667,0.026452005537510762,0.03418315877691333,0,-0.0168363351605324
meme,0.0,0.0,-0.11111111111111105,-0.20000000000000007,8.142857142857144e-10,9.466666666666667e-10,0.11893164777316419,0.04438621216077354,3,-0.11111111111111105
